ሰላም ለኪ	nagaan isiniif haa ta'u
ሙሴኒ ርእያ ወተናገራ	museen argee ishee dubbate
ወወጻእኩ ውስተ ዓለም	ani gara addunyaatti dhufe
ኢትጼሊ ለዝንቱ ሕዝብ	ummata kanaaf hin kadhatinaa
አበስነ ምስለ አበዊነ	nuti akkuma abbootii keenyaa cubbuu hojjenne
አቅዲሙ ነገረ በኦሪት	duraan toora keessatti nutti hime
ፈድፋደ ይትቀነዩ ሎሙ	baay'ee siif bitu
እሉ እሙንቱ አናብስት	kun lencoota dha
ኦሆ እምዝንቱ እነብር	tole ani as taa'a
ማርያም ንጽሕት ይእቲ	maariyaam qulqulluudha
ተመይጠ ለብሔረ ግብጽ	gara gibxiitti deebi'e
ኪያከ ንሴብሕ እግዚኦ	yaa gooftaa nuti galateefanna
እስፍንተ ቀተለ ሐራዊ	loltuun kun meeqa ajjeese
በእንተ ድቀታ ለባቢሎን	kufuun baabilon himamuu isaa
አየ ብእሴ ቀተለ ዳዊት	daawit kan nama ajjeese
ማርያምሰ ኀርየት ሠናየ	maariyaam garuu waan gaarii filatte
ወይብሉ ዳግመ ሃሌ ሉያ	ammas itti dabalaniihaaleluyaa jedhan
አዲ ናቄርብ ለከ ዘንተ	kana ammas isiniif dhiheessina
ክመ እሰምዕ አነ ዘንተ	ani kana yoom dhaga'a
ተዘከርዋ ለብእሲተ ሎጥ	haadha manaa loox yaadadhaa
ወይቤሉ እግዚኡ ይፈቅዶ	isaan immoo gooftaatu dhimma isaa qaba jedhanii deebisaniif
ትካት ዘንመ ማየ አይኅ	yeroo darbe bishaan ke denfie roobaa ture
ጽድቅ በወልታ የአውደከ	qajeelummaan akka gaachanaatti si marsee jira
ኢትበሉ አንትሙ ለጌሰም	boriif hin nyaatinaa
ኢይከብር ነቢይ በሀገሩ	raajiin biyya isaa keessatti hin kabajamu
እወ እግዚኦ መጋቤ ኵሉ	eeyyee yaa gooftaa ati eegduu hundaati
ተፈሥሒ ኦ ምልእተ ጸጋ	yaa ayyaana guutuun gammadaa
እወ እግዚኦ መላኬ ኵሉ	eeyyee yaa gooftaa ati waan hundumaa bulchita
እወ እግዚኦ አኃዜ ኵሉ	eeyyee yaa gooftaa ati waan hundumaa kan qabdu sidha
እወ እግዚኦ ንጉሠ ኵሉ	eeyyee yaa gooftaa ati mootii hundumaati
ለሰብሖተ ስሙ ያንቅሓነ	maqaasaa galateffachuf akka nu dammaqsuuf
ማዕዜ ይከውን ምጽአትከ	keessan yoom dhufta
መልአ አመጸ ዲበ ምድር	jeequmsi lafa irra guute
አርኀው ኆኃተ መኳንንት	jajjaboo balbala banaa
አነ ወአብ አሐዱ ንሕነ	abbaanii fi ani tokko isaaniin jedhe
ሰማዕተ ሐሰት ኢይድኅን	ragaan sobaa nama hin fayyisu
ወተናዘዙ ኵሎሙ ወጥዕሙ	isa irratti hundumti isaanii jajjabaatanii
እምትካት ሀለወት ይእቲ	durii kaasee achi ture
ወነጸረ ሙሴ ለፌ ወለፌ	museen naannoo isaa ilaale
አብርሃም ተወክፈ ሥላሴ	abrahaam sadan tokkummaa fudhate
አነ ውእቱ ፍኖተ ጽድቅ	ani karaa qajeelummaati
ውእቶሙ መሀሩ ትምህርተ	isaan isaan barumsa barsiisan
ለምንት ትቴክዚ ነፍስየ	lubbuu koo maaliif gadda
አንትሙ ቀተልክሙ አርዌ	isaan bineensicha ajjeeste
አበበ ውእቱ ስመ አቡየ	abbaan koo abebe jedhama
ፍኖተከ እግዚኦ አምረኒ	yaa gooftaa daandii kee na hubachiisi
እንቋዕ ተወልደ መድኅን	qorichi bagaa dhalate
ፈጠርከ አንተ ማኅበረከ	waldaa kee kabajte
ምክረ አይ ሰምዐ አዳም	addaam gorsa eenyuu dhaggeeffate
ዮኒከ ዘወድቀ ይትነሣእ	jabaadhu kan kufe ni ka'a
ወመሰሜ ወአዱማ ወሜሴ	miishmaa dumaa maasaa
ተመየጡኣ አንትሙ ኀቤየ	ati gara kootti deebi'i
ወትሰምዪዮ ስሞ ኢየሱስ	maqaasaas iyyesuus jette ni moggaafta
ወኀልቀ ዘመንየ በከንቱ	yeroon koo akkasumaan xumurame
ወእንበይነዝ ጽድቀ ኮኖ	kanaaf iyyuu qajeelummaatti isaaf lakkaa'ame jedhame
ነየ እሰምዕ አነ ቃለከ	kunoo dubbii kee dhaggeeffachaa jira
ኢይክል ሰብእ መሢአ ፀጋ	namni gaarummaa fudhachuu hin dandau
ውእቶን ሖራ ኃበ ምስያጥ	isaan gara gabaa demaan
ይእቲ ነበበት ምስለ እማ	haadha ishee waliin haasofte
እግዚኦ መሐረነ ክርስቶስ	yaa gooftaa kiristoos dhiifama nuuf godhi
ይሜንን አብድ ቃለ ጥበብ	gowwaan dubbii ogummaa tuffata
አኮ ስዩም ወልዱ ለአበበ	seum ilma abebe miti
ወያገብኦሙ ለኵሎሙ ፀርነ	diina keenya hunda duubatti deebisa
እወ እግዚኦ እግዚአ ኵሉ	eeyyee yaa gooftaa ati gooftaa hundumaati
እወ እግዚኦ አምላከ ኵሉ	eeyyee yaa gooftaa ati waaqa hundumaati
አጸደ ወይን ኮነ ለፍቁር	hiriyaa isaa tokkoof maasii wayinii qaba ture
ብጻእ ዘይትቤቀለኪ በቀለ	haaloo si ba'eef haaloo ba'uun kabajaadha
ብእሲ ዘመጽኣ እምነ ከሃ	nama as irraa dhufe
እወ እግዚኦ መድኃኔ ኵሉ	eeyyee yaa gooftaa ati nama hunda fayyisuudha
እወ እግዚኦ ማሕየዌ ኵሉ	eeyyee yaa gooftaa ati qoricha hundaati
ቤዛ ይስሐቅ ተሦዐ በግዕ	waa'ee yisihaaq furii hoolaa aarsaa ta'e
እወ እግዚኦ መሴስየ ኵሉ	eeyyee yaa gooftaa kan hunda sooru sidha
እምዓለም ወእስከ ለዓለም	bara baraan bara baraan
ናሁ አቅደምኩ ነጊሮተክሙ	amma ani duraan dursee isinitti himeera
ደይ እዴከ እንተ ስቁረት	harka kee boolla keessa kaa'i
ናሁ ወጽአ እምነ ማኅደሩ	amma manaa bahe
ፈጠረ እግዚአብሔር ዓለመ	waaqayyo biyya lafaa uume
ኢትትቤቀሉ ለሊክሙ በቀለ	ofitti haaloo hin ba'inaa
ሰብሑ መላእክት ፈጣሪሆሙ	ergamoonni uumaa isaanii galateeffatan
ምንት ነሲኦ ውእቱ ዘሖረ	maal waliin deeme
ተክለ አቤል ተወልደ ሴት	bakka abeel dubartii dhalatte
እወ እግዚኦ መኰንነ ኵሉ	eeyyee yaa gooftaa dhuguma ati bulchaa hundumaati
አንቲ ውእቱ እሙ ለአቤል	ati haadha abeeliiti
ባርክ ለነ ዘንተ ኅብሰተ	buddeena keessan eebbisaa
አነ ወለድኩ ዘንተ ወልደ	mucaa kana kanan ani deesse
አሌ ለክሙ ሰዶም ወገሞራ	sodoomii fi gomoraaf wayyoo
አይ ብእሲ ይረክብ ክብረ	eenyu namni kabaja argata
እንቋዕ ይቤሉኒ ጸላዕትየ	diinota koo bagaa naan jedhu
አንተሰ ጸላዕከ ተግሣጽየ	garuu gorsa koo ni jibbita
ኦ መንክር ልደተ አምላክ	dhalachuun waaqayyoo akkam nama ajaa'iba
ኦ ወልደ ዳዊት ተሣሃለኒ	yaa ilma daawit dhiifama naaf godhi
ይእዜሰ ትሬዕዩኑ አንትሙ	amma garuu na argita
ወለአስተየነ ዘንተ ጽዋዐ	xoofoo kanas kan nuu obaase
ቅድመ መንበሩ ለእግዚእነ	tessoo gooftaa keenya fuula durattis kadhannaa keenya nuuf dhiyeessi
ጥቀ አእበዮ እግዚአብሔር	waaqayyo baay'ee ol isa godhe
ማዕዜ ውእቱ ዕለተ ልደቱ	guyyaan dhaloota isaa maali
ተሰአሎሙኣ አንተ ለሕዝብ	ati uummata gaafadhaa
ወሰደድዎሙ እምኀበ ዐውድ	yaaʼii sana keessaa isaan ariʼe
ኢትኰንኑ ከመ ኢትትኰነኑ	akka isinitti hin farannetti isin namatti hin faradinaa
ኀቤከኑ ተፈነወ ገብርኤል	gabri'eel gara keetti ergame
ቡሩክ ዉእቱ ፍሬ ከርሥኪ	yaa durboo firiin garaa keetii kan eebbifamedha
ዮም ተወልደ መድኃኔዓለም	qorichi addunyaa har'a dhalate
አንትሙ አፍቀርክሙ ኪያዬ	atis na jaallatta
ወገሠጾሙ ከመ ኢያግህድዎ	jarri immoo namootatti akka isa hin beeksifne cimsee isaan dhowwe
ወይሰብክ በምኵራባተ ገሊላ	mana sagadaa keessatti warra galiilaa lallabaa ture
ተምዑ አበው ላዕለ ውሉዶሙ	abbootiin ijoollee isaaniitti dheekkamu
ለኵሉ ዕፅ ፍሬሁ ዘዘዚአሁ	mukti hundinuu firii mataa isaa qaba
ወኢየአምርዋ ለፍኖተ ሰላም	isaan karaa nagaa immoo hin beekan
ኦ ደቂቅየ ተመሀሩ እምኔየ	yaa ijoollee narraa baradhaa
ኢይመውት ዘእንበለ ዘአሐዩ	jiraachuu malee hin du'u
መብልዕኪኒ ኅብስት ሰማያዊ	nyaanni kees nyaata samii ture
ዘቦ እዝን ሰሚዐ ለይስማዕ	namni gurra qabu haa dhaggeeffatu jedhe
ከንቶ ይመስል ዝንቱ ዓለም	addunyaan kun faayidaa kan hin qabne fakkaatti
ዝናብ ኃለፈ ወገባ ድኅሬሁ	roobni darbee duubatti deebi'e
እፎ ተሴሰየ እግዚእ ሐሊበ	gooftaan akkamitti aannan nyaate
እሎንቱ አበው መጽኡ ኃቤከ	abbootiin sun gara kee dhufan
እሉ እደው አርድእት ውእቱ	ijoolleen dhiiraa kun barattoota dha
አይቴ ውእቱ ብሔራ ለጥበብ	biyyi aartii eessa jirti
ምጽአተ መኑ ይፈርሕ አርዌ	bineensichi dhufaatii eenyuu sodaata
ስዩም ውእቱ ወልዱ ለአበበ	seum ilma abebeeti
ምስለ አይ ተሰደተ ማርያም	maariyaam eenyu waliin godaante
እፎኑመ እመአምላክ በከየት	akkamitti haati waaqayyoo boosse
አነ ውእቱ ህብስተ ሕይወት	ani buddeena jireenyaati
ንሕነ ውእቱ አርድእተ ቅኔ	barattoota walaloo turre
ኵለሄ ቤተክርስቲያን ውእቱ	yeroo hunda waldaa dha
ዘቦ እዝን ሰሚዐ ለይስማዕ	gurra ittiin dhaga'u namni qabu haa dhaga'u isaaniin jedhe
መልእክተ ዮሐንስ ሐዋርያ	ergaa yohannis ergamaa
ርኢኩከ በታሕተ ዕፀ በለስ	baala harbuu jalatti si arga
አውጽእወ እደው እም ሀገር	dhiironni biyya keessaa isa ari'an
ሠለስተ ሰዐተ ዘበዓልክሙ	waggaatti yeroo sadii ayyaana naaf ni goota
ልሳነ አማጽያን ኢይትሐጐል	arrabni finciltootaa ni bada
ዘቦ ዕዝን ሰሚዐ ለይስማዕ	egaa namni gurra ittiin dhaga'u yoo qabaate haa dhaggeeffatu isaaniin jedhe
ወመንፈስከ ቅዱስ ይምርሃኒ	hafuurri qulqulluun gara biyya dhugaatti na haa qajeelchu
እስመ ርእየ ሕማማ ለኣመቱ	salphina garbittiisaa argeeraoo
ወኵሉ ሰብአ ቤቱ ተገዝሩ	akkasumas namoonni mana isaa jiran warri mana isaatti dhalatan warri orma irraa horiidhaan bitamanis isaa wajjin dhagna qabatan
ለዘኣብልኣነ ዘንተ ኅብስተ	nyaata kana kan nu nyaachise
ዘቦ እዝን ሰሚዐ ለይስማዕ	namni gurra qabu haa dhaggeeffatu
ወኣስተስርዪ ኩሎ ሃጢኣተነ	cubbuu keenyas nuuf dhiisisi
ዘቦ እዝን ሰሚዐ ለይስማዕ	namni gurra qabu haa dhaga'u
አንሥኡ እደዊክሙ ቀሳውስት	luboonni harka keessan ol kaasaa
ጻድቅ ለዓለም ኢያንቀለቅል	qajeeloonni bara baraan hin raafaman
ወወፅአ ጳውሎስ እማእከሎሙ	phaawulos garuu yaa'icha keessaa ba'ee adeeme
አነ ውእቱ ኅብስተ ሕይወት	ana buddeenni jireenyaa
ምንተ ግብረ ንግበር ንህነ	waan nuti hojii haa hojjennu
ኣፈቅረከ እግዚኦ በኀይልየ	yaa waaqayyo aangoo ko ani sonaan sin jaalladha
ቤዛ አባግዒሁ ይሜጦ ነፍሶ	qaama isaa hoolotaaf furii ni kenna
ወይቤሎ እግዚአብሔር ለሙሴ	waaqayyo museedhaan jedhe
አንተ ውእቱ ኖላዌ አባግእ	ati eegduu hoolotaati
ንስቲት ሕብስት ግበሪ ሊተ	daabboo naaf bilcheessi
እግዚአብሔር ምስለ ኵልክሙ	waaqayyo hunda keessan waliin haa ta'u
ሕቀ አሕጸጽኮ እመላእክቲከ	ergamoota kee muraasa gadi na goote
በእንተ ርደተ መንፈስ ቅዱስ	bu'uu hafuura qulqulluu
ዛቲ ብእሲት መርአዊት ይእቲ	dubartiin sun misirroodha
ወአጥብዐ ሲላስ ይንበር ህየ	siilaas garuu jaallatee achi ture
ክርስቶስ በምሕረቱ ይዘክረነ	kiristoos dhifaamasaatin akka nu yaadatuuf
ወዝንቱ ኵሉ ቀዳሚሁ ለሕማም	wanti kun hundinuu garuu jalqaba ciniinsuu ti
ዛቲ ትእዛዝ ዐባይ ወቀዳሚት	abboommiin hundumaa irra caalu inni duraa isa kana
ወምስለ ዝኒ ኢኀብረ ስምዖሙ	haa ta'u iyyuu malee isa kana irratti iyyuu dubbiin isaanii wal hin fudhanne
ኢያስሕቱክሙ አኀዊነ ፍቁራን	obboloota ko jaallatamoo hin gowwoominaa
ትትሜሀርኑ ትምሀርተ ዘመናዌ	barnoota ammayyaa ni baratta
ወለሐዶራ ወለአዜላ ወለዴቄላ	hadoraam uzaal diqilaa
እስመ አኀዊሁኒ ኢአምኑ ቦቱ	obboloonni isaa iyyuu isatti hin amanne
ተፈሥሒ እስመ ረከብኪ ሞገስ	guutuu dhabuu waan argatteef gammadi
ተፈሥሒ እግዚአብሔር ምስሌኪ	waaqayyo isinii wajjin waan jiruuf gammadaa
ወመሰለ ሎሙ ከመዝ ወይቤሎሙ	kana irratti fakkeenya kana isaanitti hime
ወገብሩ ከማሁ ወረፈቁ ኵሎሙ	isaan akka inni abboometti hunda isaanii teessisan
አንተ ውእቱ ቤዛ ኩሉ ዓለም	ati fayyisaa addunyaa guutuuti
ዝ እም ሲዳሞ ወዝኩሰ አዳማ	kunis sidamoo irraa fi adaamaa irraati
ወይሁዳ አስቆሮታዊ ዘአግብኦ	akkasumas yihudaa nama biyya keriyot isa yesusin dabarsee kenne
በሊኅ እገሪሆሙ ለክዒወ ደም	miilli isaanii dhiiga dhangalaasuutti ariifataa dha
አነ ጸሐፍኩ ውዳሴ ዘማርያም	galata maariyaamiif barreesse
አንሰ አሌሊተ አልብየ ተስፋ	wayyoo abdii hin qabu
ጸሎት ላዕለ ንዋያት ሐዲሳት	kadhannaa meeshaalee quiqullaa'aa haaraa irratti kadhatamu
አኮኑ እደውየ ገብራ ዘ ኵሎ	isaan kana hundumaas harka kootu hojjete mitii ree jedha gooftichi
ብእሲ ዘጥበብ የአምር ብዙሐ	beekaan waan baay'ee beeka
አይቴ ውእቱ ቤተ ትምሀርትከ	manni barumsaa eessa jira
አንቲ ውእቱ ተስፋሁ ለአዳም	ati abdii addaam ti
ወለነዳይ ኢትምሐር በፍትሕ	dhimma murtii irrattis hiyyeeyyii hin loogin
አማሰለ መኑ ይትሜሰል ወልድ	ilmi eenyu fakkaata
ተፈሥሒ ኦ መድኃኒታ ለሔዋን	yaa fayyisaa hewaan gammadi
ሕድግሰ ዕበደ ተገበር ጽድቀ	dadhabbii dhiisi dhugaa hojjedhu
ኢትደይ እዴከ ላዕለ ወልድከ	harka keessan mucaa keessan irratti hin kaasinaa
ይእዜ ብንክሙ አንትሙ ሕዝበ	isin har'a isin saba isaati
አይቴ ሀገረ ወረሰ አብርሃም	abrahaam biyya kana eessaa dhaale
ወኀደገ ሰንዱኖ ወጐየ ዕራቆ	inni immoo wayyaa sana harkatti dhiisee qullaa isaa fiigee harkaa ba'e
ወትበውእ አንተ ውስተ ታቦት	ati dooniin ni seenta
ጽላሎተ ጸበል ተዘርወ ሥጋሁ	foon isaa akka biyyee facaee ture
ኦሆ ኢበልዎሙ ሕዝብ ለደቂቅ	ummanni ijoollee harkaan qabate
ተክለ ይሁዳ ተሰይመ ማትያስ	maatiyaas bakka yihudaa muudame
ኵሉ ሰብ የሐውር ለለ ሀገሩ	hunduu gara biyyaa deema
ዝንቱ ይመውት ምስለ አብዳን	kana dadhabaa wajjin du'a
ምንት ግብር ይበቁዖ ለሰብእ	maal hojiin namoota fayyada
ወቦው ደቂቁ እምውሳጤ ታቦት	ijoolleen taabota irraa keessa seenuu
ጥበቡ ለብእሲ ትውልድ ጥበብ	ogummaan namaa beekumsa argamsiisa
ኪያከኑ አዕበየ እግዚአብሔር	waaqayyo ati ol nu ol kaasi
እለ ትቀውሙ አትሕቱ ርእሰክሙ	namoota dhaabbataa of gadi qabaa
እንከ ፈንዎሙ አንተ ለሕዝብከ	ati tole egaa ummata isaan ariaa
ዖደ ዮሐንስ አድያመ ዮርዳኖስ	yohaannis aanaa yordaanos keessa naanna'e
ወብፁዕ ውእቱ ዘኢተዐቅፈ ብየ	namni waa'ee kootiif abdii hin kutanne gammachuu attamii qaba isaaniin jedhe
እንከሰ ግብር አንተ ዘትገብር	kanaaf waan hojjettu hojjedhu
ወረሱ ርስቶሙ ስሊጦሙ ግብሮሙ	dhaala isaanii xumuranii dhaala isaanii dhaalaniiru
እንተ ጸብሐት የሀበነ ምሕረቶ	guyyaa guyyaan araara isaa nuuf kenni
ውእቱሰ ኀረየ መክፈልተ ሠናይ	carraa gaarii filate
ዮምሰ አበርሕ አነ በመስቀልየ	har'a fannoo kootiin isin ibsa
ሐተቶ ጲላጦስ ለኢየሱስ ጽሚተ	philaaxos yesusiin suuta jedhee qorate
ወሖሩ ሐቅለ በሐመር ባሕቲቶሙ	yommus isaan kophaa isaanii bidiruudhaan gara iddoo qoofnii tokkoo dhaqan
ታዐብዮ ነፍስየ ለእግዚኣብሔር	lubbuun koo waaqayyoon guddaa ni galateeffatti
እምኣርዌ ነኣዊ ተማኅጸነ ብኪ	bineensaa hamaarraa akka nu olchituuf si kadhanna
አኮ ጻድቅ ልዮን ዳዕሙ ኃጥእ	leencoo cubbamaa malee qajeelaa miti
ባረከ እግዚእነ ዓመተ ጻድቃን	gooftaan keenya bara qajeelaa kabaje
ሕዳጠ መዋዕል ሀሎኩ ምስሌክሙ	guyyoota muraasaaf si waliin jiraadheera
ወእግዚአብሔር አንሥኦ እሙታን	waaqayyo garuu warra du'an keessaa isa kaase
መነ ነቢየ ጸውዐ እግዚአብሔር	waaqayyo eenyu raajii waame
ወጸድቀት ጥበብ እምኵሉ ውሉዳ	haa ta'u iyyuu malee ogummaan waaqayyoo ijoollee ogummaa hundumaa biratti dhugaa argate jedhe
ስግዱ ለእግዚአብሔር በፍርሃት	sodaadhaan waaqayyoon sagadi
ወብፁዓን እለ ኢይትዐቀፉ ብየ	namni waa'ee kootiif abdii hin kutanne gammachuu attamii qaba jedhe
አሜን ወአሜን ለይኩን ለይኩን	ameen ameen haa ta'u
ጌሰሙ ታገብኡ አንትሙ ወርቅየ	isin warqee koo ni galchita
ወአውፅኦ መንፈስ ሶቤሃ ገዳመ	hafuurri qulqulluun achumaan yesusin gara lafa onaatti in baase
ተጸውዐ ዳንኤል ይፈክር ሕልመ	daani'eel abjuu hiikuuf waamame
እላ አንስታይ መምህራት ውእቱ	dubartoonni kun barsiisota dha
ወኢይስሐቁኒ ጸላእትየ ላዕሌየ	diinonni koos natti hin kolfiin
